FileId,Sequence No,Time,,,EARFCN (0),RSSI (0),R0 RSRP (0),R0 RSRQ (0),R0 RS CINR (0),Cell ID (0)
10000000,75762,25:16.1,,,2200,-77.02,-95.3,-9.49,7.11,242
10000000,75763,25:18.5,,,2200,-73.98,-94.9,-12.01,3.45,242
10000000,75764,25:19.0,,,2200,-75.07,-95.18,-12.36,3.96,242
10000000,75765,25:19.5,,,2200,-73.5,-94.01,-9.53,4.34,242
10000000,75766,25:20.0,,,2200,-75.93,-93.89,-10.4,7.53,242
10000000,75767,25:20.5,,,2200,-74.55,-93.35,-10.97,5.44,242
10000000,75768,25:21.0,,,2200,-73.24,-92.77,-10.87,5.98,242
10000000,75769,25:21.5,,,2200,-70.39,-92.95,-12.49,8.93,242
10000000,75770,25:22.0,,,2200,-71.48,-92.95,-12.3,4.49,242
10000000,75771,25:22.5,,,2200,-73.41,-92.6,-11.26,8.52,242
10000000,75772,25:23.0,,,2200,-73.92,-92.15,-9.55,7.99,242
10000000,75773,25:23.5,,,2200,-74.23,-92.23,-9.73,7.65,242
10000000,75774,25:24.0,,,2200,-73.89,-92.75,-11.3,6.38,242
10000000,75775,25:24.5,,,2200,-74.28,-92.36,-10.86,5.06,242
10000000,75776,25:25.0,,,2200,-74.5,-93.63,-9.58,5.18,242
10000000,75777,25:25.5,,,2200,-74.67,-93.21,-10.45,6.74,242
10000000,75778,25:26.0,,,2200,-76.64,-93.37,-9.89,5.64,242
10000000,75779,25:26.5,,,2200,-76.23,-93.3,-10.91,6.57,242
10000000,75780,25:27.0,,,2200,-71.84,-94.03,-12.08,3.56,242
10000000,75781,25:27.5,,,2200,-68.99,-92.99,-12.38,4.64,242
10000000,75782,25:28.0,,,2200,-75.11,-94.19,-12.16,0.93,242
10000000,75783,25:28.5,,,2200,-68.67,-94.39,-15.82,2.06,237
10000000,75784,25:29.0,,,2200,-74.74,-93.5,-11.05,3.22,242
10000000,75785,25:29.5,,,2200,-72.07,-93.26,-11.83,1.81,242
10000000,75786,25:30.0,,,2200,-74.92,-92.88,-11.52,3.51,242
10000000,75787,25:30.5,,,2200,-76.19,-92.05,-10.76,2.86,242
10000000,75788,25:31.0,,,2200,-70.46,-92.3,-10.97,5.99,242
10000000,75789,25:31.5,,,2200,-69.57,-92.22,-13.05,7.85,242
10000000,75790,25:32.0,,,2200,-75.9,-93.43,-11.54,6.79,242
10000000,75791,25:32.5,,,2200,-75.14,-94.49,-10.98,6.88,242
10000000,75792,25:33.0,,,2200,-68.72,-93.14,-13.84,6.76,242
10000000,75793,25:33.5,,,2200,-70.29,-92.78,-12.81,7.73,242
10000000,75794,25:34.0,,,2200,-71.14,-93.09,-12.93,8.23,242
10000000,75795,25:34.5,,,2200,-70.83,-93.5,-12.46,10.04,242
10000000,75796,25:35.0,,,2200,-70.72,-93.48,-13.12,10.11,242
10000000,75797,25:35.5,,,2200,-71.67,-93.88,-12.84,9.06,242
10000000,75798,25:36.0,,,2200,-72.12,-94.49,-12.73,7.45,242
10000000,75799,25:36.5,,,2200,-70.61,-94.42,-12.36,7.58,242
