FileId,Sequence No,Time,,,EARFCN (0),RSSI (0),R0 RSRP (0),R0 RSRQ (0),R0 RS CINR (0),Cell ID (0)
10000000,77100,25:17.5,,,66686,-79.62,-95.01,-10.32,4.68,242
10000000,77101,25:18.7,,,66686,-73.38,-94.89,-11.16,4.01,242
10000000,77102,25:19.2,,,66686,-72.72,-93.85,-10.74,5.58,242
10000000,77103,25:19.7,,,66686,-73.33,-93.68,-10.49,5.61,242
10000000,77104,25:20.3,,,66686,-79.95,-93.5,-8.91,8.21,242
10000000,77105,25:20.7,,,66686,-74.24,-93.09,-10.28,9.32,242
10000000,77106,25:21.2,,,66686,-73.59,-92.46,-11.35,7.55,242
10000000,77107,25:21.8,,,66686,-70.79,-92.93,-12.39,5.77,242
10000000,77108,25:22.3,,,66686,-75.32,-92.83,-10.76,9.85,242
10000000,77109,25:22.8,,,66686,-76.35,-92.54,-9.42,9.83,242
10000000,77110,25:23.2,,,66686,-72.22,-92.1,-10.14,7.25,242
10000000,77111,25:23.7,,,66686,-72.11,-92.76,-10.16,7.27,242
10000000,77112,25:24.3,,,66686,-77.25,-92.68,-8.78,7.65,242
10000000,77113,25:24.8,,,66686,-75.1,-93.53,-9.87,6.48,242
10000000,77114,25:25.2,,,66686,-71.76,-93.14,-11.96,6.31,242
10000000,77115,25:25.7,,,66686,-72.42,-93.22,-11.79,6.88,242
10000000,77116,25:26.3,,,66686,-75.98,-93.82,-10.22,5.5,242
10000000,77117,25:26.8,,,66686,-72.66,-93.85,-11.54,6.01,242
10000000,77118,25:27.2,,,66686,-70.54,-92.42,-12.49,1.57,242
10000000,77119,25:27.7,,,66686,-72.02,-93.92,-12.29,5.69,242
10000000,77120,25:28.2,,,66686,-73.8,-94.1,-11.92,1.06,242
10000000,77121,25:28.8,,,66686,-70.15,-93.97,-13.35,0.93,242
10000000,77122,25:29.3,,,66686,-72.73,-93.29,-12.47,2.55,242
10000000,77123,25:29.7,,,66686,-72.23,-93.43,-11.3,2.54,242
10000000,77124,25:30.2,,,66686,-73.27,-92.39,-10.96,1.98,242
10000000,77125,25:30.7,,,66686,-74.39,-92.44,-9.81,3.81,242
10000000,77126,25:31.3,,,66686,-74.97,-93.49,-11.07,3.37,242
10000000,77127,25:31.8,,,66686,-74.87,-92.49,-9.3,7.96,242
10000000,77128,25:32.2,,,66686,-74.12,-95.47,-12.57,7.22,242
10000000,77129,25:32.7,,,66686,-68.33,-93.53,-14.14,7.41,242
10000000,77130,25:33.2,,,66686,-69.67,-92.66,-14.31,8.22,242
10000000,77131,25:33.7,,,66686,-72.2,-92.66,-11.35,9.05,242
